FID,the_geom,id_healthF,nmHsp_mya,nmHsp_eng,lvlHsp_mya,lvlHsp_eng,bedClass,SR_PCODE,SR_mya,SR,DT_PCODE,DT,TS_PCODE,TS_mya,TS_en,SELF_ADMIN,comment,accuraConf
health_facilities_myanmar2020_v20241016.413,POINT (95.49317900000005 17.743172000000072),hsp_0414,ဇီးဖြူကုန်းတိုက်နယ်ဆေးရုံ,Zee Hpyu Kone Station Hospital,တိုက်နယ်,Station,16,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D002,Thayarwady,MMR008008,လက်ပံတန်း,Letpadan,,,high confidence
health_facilities_myanmar2020_v20241016.414,POINT (95.70390900000007 17.977062000000046),hsp_0415,မင်းလှမြို့နယ်ဆေးရုံ,Minhla Township Hospital,မြို့နယ်,Township,25,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D002,Thayarwady,MMR008009,မင်းလှ,Minhla,,,high confidence
health_facilities_myanmar2020_v20241016.415,POINT (95.71984300000008 17.890469000000053),hsp_0416,စစ်ကွင်းတိုက်နယ်ဆေးရုံ,Sit Kwin Station Hospital,တိုက်နယ်,Station,16,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D002,Thayarwady,MMR008009,မင်းလှ,Minhla,,,high confidence
health_facilities_myanmar2020_v20241016.416,POINT (95.67214500000006 18.125067000000058),hsp_0417,အုတ်ဖိုမြို့နယ်ဆေးရုံ,Okpho Township Hospital,မြို့နယ်,Township,50,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D002,Thayarwady,MMR008010,အုတ်ဖို,Okpho,,,high confidence
health_facilities_myanmar2020_v20241016.417,POINT (95.73146600000007 18.080722000000037),hsp_0418,အေးမြသာယာတိုက်နယ်ဆေးရုံ,Aye Mya Thar Yar Station Hospital,တိုက်နယ်,Station,16,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D002,Thayarwady,MMR008010,အုတ်ဖို,Okpho,,,high confidence
health_facilities_myanmar2020_v20241016.418,POINT (95.69625500000006 18.03731700000003),hsp_0419,အိုးသည်ကုန်းတိုက်နယ်ဆေးရုံ,Oe Thei Kone Station Hospital,တိုက်နယ်,Station,16,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D002,Thayarwady,MMR008010,အုတ်ဖို,Okpho,,,high confidence
health_facilities_myanmar2020_v20241016.419,POINT (95.78387000000004 18.199520000000064),hsp_0420,ကိုင်းကြီးတိုက်နယ်ဆေးရုံ,Kaing Gyi Station Hospital,တိုက်နယ်,Station,16,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D002,Thayarwady,MMR008010,အုတ်ဖို,Okpho,,,high confidence
health_facilities_myanmar2020_v20241016.420,POINT (95.62399900000008 18.33481000000006),hsp_0421,ဇီးကုန်းမြို့နယ်ဆေးရုံ,Zigon Township Hospital,မြို့နယ်,Township,50,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D002,Thayarwady,MMR008011,ဇီးကုန်း,Zigon,,,high confidence
health_facilities_myanmar2020_v20241016.421,POINT (95.55029100000007 18.43471500000004),hsp_0422,နတ်တလင်းမြို့နယ်ဆေးရုံ,Nattalin Township Hospital,မြို့နယ်,Township,25,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D002,Thayarwady,MMR008012,နတ်တလင်း,Nattalin,,,high confidence
health_facilities_myanmar2020_v20241016.422,POINT (95.45388000000008 18.35770700000006),hsp_0423,တာပွန်တိုက်နယ်ဆေးရုံ,Tar Pun Station Hospital,တိုက်နယ်,Station,16,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D002,Thayarwady,MMR008012,နတ်တလင်း,Nattalin,,,high confidence
